request_id,agent_id,task_type,cognitive_domain,scheduled_time_ms,deadline_ms,input_tokens_target,output_tokens_target,client_queue_ms,wall_ms,ttft_ms,server_prompt_ms,server_predicted_ms,server_prompt_tokens,server_cache_tokens,server_predicted_tokens,server_prompt_tok_s,server_decode_tok_s,deadline_miss,error
r00119,0,threat_assessment,threat,12000,220,760,24,0.4248000004736241,9961.307699999452,8811.593899999934,8800.709,1141.473,760,0,24,86.35667876304056,20.14940344624884,True,
r00120,1,threat_assessment,threat,12000,220,830,28,9995.685299998513,13468.468099999882,12105.748699999822,12071.831,1362.055,830,0,28,68.75510434166947,19.822988058485155,True,
r00121,2,threat_assessment,threat,12000,220,900,32,23466.00480000052,14706.812599999466,12876.979500000743,12839.647,1829.223,900,0,32,70.09538502109909,16.947086276522874,True,
r00122,3,threat_assessment,threat,12000,220,970,36,38174.83820000052,16965.265799999543,14805.035299999872,14768.899,2159.54,970,0,36,65.67855870637344,16.207155227502152,True,
r00123,4,threat_assessment,threat,12000,220,1040,24,55142.03710000038,16283.025100001396,15123.261400000047,15086.592,1159.121,1040,0,24,68.93538315346501,19.842622124868758,True,
r00124,5,threat_assessment,threat,12000,220,760,28,71426.71150000024,11518.550299999333,10181.015599999228,10150.739,1336.946,760,0,28,74.87139606288764,20.195280886438198,True,
r00125,6,threat_assessment,threat,12000,220,830,32,82947.12620000064,12614.795299999969,11078.604899999846,11045.95,1535.614,830,0,32,75.14066241473118,20.187364793496283,True,
r00126,7,threat_assessment,threat,12000,220,900,36,95563.5127000005,13854.33170000033,12113.904899999397,12081.767,1739.77,900,0,36,74.4924148926229,20.117601751955718,True,
